ara	adec	bra	bdec	constname
124.63029166666666	-76.91997222222223	158.86758333333336	-78.60780555555554	Cha
158.86758333333336	-78.60780555555554	184.58725	-79.31227777777778	Cha
344.41179166666666	-29.621833333333335	340.163875	-27.04361111111111	PsA
340.163875	-27.04361111111111	330.20925	-28.45375	PsA
330.20925	-28.45375	326.9340416666667	-30.898305555555556	PsA
326.9340416666667	-30.898305555555556	332.53533333333337	-32.54844444444444	PsA
332.53533333333337	-32.54844444444444	337.8762083333333	-32.34602777777778	PsA
337.8762083333333	-32.34602777777778	343.9870416666667	-32.53969444444444	PsA
317.58529166666665	10.131944444444445	318.61995833333333	10.007722222222222	Equ
318.61995833333333	10.007722222222222	320.72325	6.811111111111111	Equ
320.72325	6.811111111111111	318.9558333333333	5.248083333333334	Equ
318.9558333333333	5.248083333333334	317.58529166666665	10.131944444444445	Equ
325.368625	-77.38947222222222	341.5155	-81.3816111111111	Oct
341.5155	-81.3816111111111	216.73225000000002	-83.66786111111112	Oct
216.73225000000002	-83.66786111111112	325.368625	-77.38947222222222	Oct
322.88966666666664	-5.571166666666667	331.44595833333335	-0.3198333333333333	Aqr
331.44595833333335	-0.3198333333333333	335.41375000000005	-1.387361111111111	Aqr
335.41375000000005	-1.387361111111111	337.2075	-0.020055555555555556	Aqr
337.2075	-0.020055555555555556	338.83887500000003	-0.11736111111111111	Aqr
338.83887500000003	-0.11736111111111111	343.15358333333336	-7.579666666666666	Aqr
343.15358333333336	-7.579666666666666	348.97200000000004	-9.087694444444445	Aqr
348.97200000000004	-9.087694444444445	350.7429166666667	-20.100333333333335	Aqr
331.44595833333335	-0.3198333333333333	334.20820833333335	-7.78325	Aqr
334.20820833333335	-7.78325	331.60920833333336	-13.869527777777778	Aqr
334.20820833333335	-7.78325	337.66175	-10.677888888888889	Aqr
337.66175	-10.677888888888889	342.3979583333333	-13.592527777777779	Aqr
342.3979583333333	-13.592527777777779	343.66266666666667	-15.82075	Aqr
343.66266666666667	-15.82075	347.3615	-21.172472222222222	Aqr
311.918875	-9.495694444444444	322.88966666666664	-5.571166666666667	Aqr
15.70454166666667	31.804333333333336	18.437250000000002	24.583777777777776	Psc
15.70454166666667	31.804333333333336	19.866583333333335	27.264083333333332	Psc
19.866583333333335	27.264083333333332	18.437250000000002	24.583777777777776	Psc
18.437250000000002	24.583777777777776	22.870791666666666	15.345833333333333	Psc
22.870791666666666	15.345833333333333	26.348291666666668	9.15763888888889	Psc
26.348291666666668	9.15763888888889	30.511666666666667	2.76375	Psc
30.511666666666667	2.76375	28.388916666666667	3.187472222222222	Psc
28.388916666666667	3.187472222222222	25.357958333333336	5.487611111111111	Psc
25.357958333333336	5.487611111111111	22.545583333333333	6.143944444444445	Psc
22.545583333333333	6.143944444444445	15.736083333333337	7.890083333333333	Psc
15.736083333333337	7.890083333333333	12.07225	7.299916666666666	Psc
12.07225	7.299916666666666	5.149416666666666	8.19025	Psc
5.149416666666666	8.19025	359.82750000000004	6.863583333333333	Psc
359.82750000000004	6.863583333333333	354.98675000000003	5.627361111111112	Psc
354.98675000000003	5.627361111111112	355.512	1.7804166666666665	Psc
355.512	1.7804166666666665	351.7329583333334	1.2558333333333334	Psc
351.7329583333334	1.2558333333333334	349.2895416666667	3.28225	Psc
349.2895416666667	3.28225	351.992375	6.3791111111111105	Psc
351.992375	6.3791111111111105	354.98675000000003	5.627361111111112	Psc
289.27545833333335	53.36816666666667	292.4264166666667	51.72947222222223	Cyg
292.4264166666667	51.72947222222223	296.2435	45.130694444444444	Cyg
296.2435	45.130694444444444	305.5570833333333	40.25669444444444	Cyg
